entity,label,context,source_url,source_title
Diabetes,DISEASE,"Diabetes mellitus, commonly known as diabetes, is a group of common endocrine diseases characterized by sustained high blood sugar levels.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
insulin,MEDICATION,"Diabetes tends to progress in severity, and is due to either a reduced production of the hormone insulin by the pancreas or unresponsiveness of bodily cells to insulin's effects.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Ps:,ORG,"Classic symptoms include the three Ps: polydipsia (excessive thirst), polyuria (excessive urination), and polyphagia (excessive hunger), together with weight loss and blurred vision.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
polydipsia,SYMPTOM,"Classic symptoms include the three Ps: polydipsia (excessive thirst), polyuria (excessive urination), and polyphagia (excessive hunger), together with weight loss and blurred vision.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
polyuria,SYMPTOM,"Classic symptoms include the three Ps: polydipsia (excessive thirst), polyuria (excessive urination), and polyphagia (excessive hunger), together with weight loss and blurred vision.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
polyphagia,SYMPTOM,"Classic symptoms include the three Ps: polydipsia (excessive thirst), polyuria (excessive urination), and polyphagia (excessive hunger), together with weight loss and blurred vision.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
weight loss,SYMPTOM,"Classic symptoms include the three Ps: polydipsia (excessive thirst), polyuria (excessive urination), and polyphagia (excessive hunger), together with weight loss and blurred vision.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
blurred vision,SYMPTOM,"Classic symptoms include the three Ps: polydipsia (excessive thirst), polyuria (excessive urination), and polyphagia (excessive hunger), together with weight loss and blurred vision.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
metformin,MEDICATION,"The most common treatment for type 1 is insulin replacement therapy (insulin injections), while anti-diabetic medications (such as metformin and semaglutide or tirzepatide) and lifestyle modifications can be used to manage type 2.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Gestational diabetes,DISEASE,"Gestational diabetes, a form that sometimes arises during pregnancy, normally resolves shortly after delivery.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Type 1 diabetes,DISEASE,"Type 1 diabetes is an autoimmune condition in which the body's immune system attacks the beta cells (β-cell) in the pancreas, preventing the production of insulin.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Type 2 diabetes,DISEASE,"Type 2 diabetes occurs when the body becomes resistant to insulin, meaning the cells do not respond effectively to it, and thus, glucose remains in the bloodstream instead of being absorbed by the cells.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
recent decades,DATE,"The number of people worldwide diagnosed as living with diabetes has increased sharply in recent decades, from 200 million in 1990 to 828 million in 2024.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
each year,DATE,"Diabetes accounts for some two million deaths each year, and more than half of those affected are unaware of their condition.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
fatigue,SYMPTOM,"Several other non-specific signs and symptoms may also occur, including fatigue, blurred vision, sweet smelling urine/semen and genital itchiness due to Candida infection.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
many years,DATE,"Type 1 presents abruptly following a pre-clinical phase, while type 2 has a more insidious onset; patients may remain asymptomatic for many years.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
nausea,SYMPTOM,"Excessive production of ketone bodies leads to signs and symptoms including nausea, vomiting, abdominal pain, the smell of acetone in the breath, deep breathing known as Kussmaul breathing, and in severe cases decreased level of consciousness.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
vomiting,SYMPTOM,"Excessive production of ketone bodies leads to signs and symptoms including nausea, vomiting, abdominal pain, the smell of acetone in the breath, deep breathing known as Kussmaul breathing, and in severe cases decreased level of consciousness.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
abdominal pain,SYMPTOM,"Excessive production of ketone bodies leads to signs and symptoms including nausea, vomiting, abdominal pain, the smell of acetone in the breath, deep breathing known as Kussmaul breathing, and in severe cases decreased level of consciousness.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Kussmaul,ORG,"Excessive production of ketone bodies leads to signs and symptoms including nausea, vomiting, abdominal pain, the smell of acetone in the breath, deep breathing known as Kussmaul breathing, and in severe cases decreased level of consciousness.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Hypoglycemia,PERSON,Hypoglycemia is a recognized complication of insulin treatment used in diabetes.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
palpitations,SYMPTOM,"An acute presentation can include mild symptoms such as sweating, trembling, and palpitations, to more serious effects including impaired cognition, confusion, seizures, coma, and rarely death.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
confusion,SYMPTOM,"An acute presentation can include mild symptoms such as sweating, trembling, and palpitations, to more serious effects including impaired cognition, confusion, seizures, coma, and rarely death.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
coronary artery disease,DISEASE,"Diabetes doubles up the risk of cardiovascular disease, and about 75% of deaths in people with diabetes are due to coronary artery disease.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
stroke,DISEASE,Other macrovascular morbidities include stroke and peripheral artery disease.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
glaucoma,DISEASE,"The eyes can also be affected in other ways, including development of cataract and glaucoma.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
ophthalmologist,MEDICAL_SPECIALTY,It is recommended that people with diabetes visit an optometrist or ophthalmologist once a year.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
chronic kidney disease,DISEASE,"Diabetic nephropathy is a major cause of chronic kidney disease, accounting for over 50% of patients on dialysis in the United States.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
dialysis,TREATMENT,"Diabetic nephropathy is a major cause of chronic kidney disease, accounting for over 50% of patients on dialysis in the United States.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
the United States,GPE,"Diabetic nephropathy is a major cause of chronic kidney disease, accounting for over 50% of patients on dialysis in the United States.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
diarrhea,SYMPTOM,"Diabetic neuropathy, damage to nerves, manifests in various ways, including sensory loss, neuropathic pain, and autonomic dysfunction (such as postural hypotension, diarrhea, and erectile dysfunction).",https://en.wikipedia.org/wiki/Diabetes,Diabetes
amputation,TREATMENT,"Loss of pain sensation predisposes to trauma that can lead to diabetic foot problems (such as ulceration), the most common cause of non-traumatic lower-limb amputation.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
cognitive decline,SYMPTOM,"There is a link between cognitive deficit and diabetes; studies have shown that diabetic individuals are at a greater risk of cognitive decline, and have a greater rate of decline compared to those without the disease.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Types,ORG,"Types  Diabetes is classified by the World Health Organization into six categories:  Type 1 diabetes Type 2 diabetes Hybrid forms of diabetes(including slowly evolving, immune-mediated diabetes of adults and ketosis-prone type 2 diabetes)",https://en.wikipedia.org/wiki/Diabetes,Diabetes
the World Health Organization,ORG,"Types  Diabetes is classified by the World Health Organization into six categories:  Type 1 diabetes Type 2 diabetes Hybrid forms of diabetes(including slowly evolving, immune-mediated diabetes of adults and ketosis-prone type 2 diabetes)",https://en.wikipedia.org/wiki/Diabetes,Diabetes
under 20 years,DATE,"Type 1  Type 1 accounts for 5 to 10% of diabetes cases and is the most common type of diabetes diagnosed in patients under 20 years; however, the older term ""juvenile-onset diabetes"" is no longer used as onset in adulthood is possible.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
LADA,ORG,Latent autoimmune diabetes of adults (LADA) is the diagnostic term applied when type 1 diabetes develops in adults; it has a slower onset than the same condition in children.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
LADA,PERSON,"Adults with LADA are frequently initially misdiagnosed as having type 2 diabetes, based on age rather than a cause.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
obesity,DISEASE,"A number of lifestyle factors are known to be important to the development of type 2 diabetes, including obesity (defined by a body mass index of greater than 30), lack of physical activity, poor diet such as Western Pattern Diet, and stress.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Western Pattern Diet,ORG,"A number of lifestyle factors are known to be important to the development of type 2 diabetes, including obesity (defined by a body mass index of greater than 30), lack of physical activity, poor diet such as Western Pattern Diet, and stress.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
weight gain,SYMPTOM,"Antipsychotic medication, SSRI, and SNRI side effects (specifically metabolic abnormalities, dyslipidemia and weight gain) are also potential risk factors.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
around 24–28 weeks,DATE,It is recommended that all pregnant women get tested starting around 24–28 weeks gestation.,https://en.wikipedia.org/wiki/Diabetes,Diabetes
E12,ORG,"The ICD-10 (1992) diagnostic entity, malnutrition-related diabetes mellitus (ICD-10 code E12), was previously deprecated by the World Health Organization (WHO) when the current taxonomy was introduced in 1999.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
the World Health Organization (WHO,ORG,"The ICD-10 (1992) diagnostic entity, malnutrition-related diabetes mellitus (ICD-10 code E12), was previously deprecated by the World Health Organization (WHO) when the current taxonomy was introduced in 1999.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
IGF-1,ORG,"Pathophysiology  Insulin is the principal hormone that regulates the uptake of glucose from the blood into most cells of the body, especially liver, adipose tissue and muscle, except smooth muscle, in which insulin acts via the IGF-1.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
dL,PERSON,"Diagnosis  Diabetes mellitus is diagnosed with a test for the glucose content in the blood, and is diagnosed by demonstrating any one of the following:  Fasting plasma glucose level ≥ 7.0 mmol/L (126 mg/dL).",https://en.wikipedia.org/wiki/Diabetes,Diabetes
Plasma,PERSON,Plasma glucose ≥ 11.1 mmol/L (200 mg/dL) two hours after a 75 gram oral glucose load as in a glucose tolerance test (OGTT) Symptoms of high blood sugar and plasma glucose ≥ 11.1 mmol/L (200 mg/dL) either while fasting or not fasting Glycated hemoglobin (HbA1C) ≥ 48 mmol/mol (≥ 6.5 DCCT %).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
WHO,ORG,"Per the WHO, people with fasting glucose levels from 6.1 to 6.9 mmol/L (110 to 125 mg/dL) are considered to have impaired fasting glucose.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
The American,ORG,The American Diabetes Association (ADA) since 2003 uses a slightly different range for impaired fasting glucose of 5.6 to 6.9 mmol/L (100 to 125 mg/dL).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
ADA,ORG,The American Diabetes Association (ADA) since 2003 uses a slightly different range for impaired fasting glucose of 5.6 to 6.9 mmol/L (100 to 125 mg/dL).,https://en.wikipedia.org/wiki/Diabetes,Diabetes
unhealthy diet,PERSON,"The relationship between type 2 diabetes and the main modifiable risk factors (excess weight, unhealthy diet, physical inactivity and tobacco use) is similar in all regions of the world.",https://en.wikipedia.org/wiki/Diabetes,Diabetes
