private_entity,external_uri,confidence
http://medkg.local/ace_inhibitor,http://www.wikidata.org/entity/Q288280,1.0
http://medkg.local/ace_inhibitors,http://www.wikidata.org/entity/Q288280,0.8
http://medkg.local/acetaminophen,http://www.wikidata.org/entity/Q57055,0.6
http://medkg.local/adalimumab,http://www.wikidata.org/entity/Q348260,1.0
http://medkg.local/albuterol,http://www.wikidata.org/entity/Q410358,0.6
http://medkg.local/amlodipine,http://www.wikidata.org/entity/Q411347,1.0
http://medkg.local/amoxicillin,http://www.wikidata.org/entity/Q201928,1.0
http://medkg.local/antibiotic,http://www.wikidata.org/entity/Q12187,1.0
http://medkg.local/antibiotics,http://www.wikidata.org/entity/Q27725829,1.0
http://medkg.local/anticoagulant,http://www.wikidata.org/entity/Q215118,1.0
http://medkg.local/anticoagulants,http://www.wikidata.org/entity/Q215118,0.8
http://medkg.local/antidepressant,http://www.wikidata.org/entity/Q76560,1.0
http://medkg.local/antidepressants,http://www.wikidata.org/entity/Q76560,0.8
http://medkg.local/antihypertensive,http://www.wikidata.org/entity/Q575890,0.6
http://medkg.local/antiviral,http://www.wikidata.org/entity/Q846227,0.6
http://medkg.local/apixaban,http://www.wikidata.org/entity/Q414462,1.0
http://medkg.local/aspirin,http://www.wikidata.org/entity/Q18216,1.0
http://medkg.local/atenolol,http://www.wikidata.org/entity/Q411325,1.0
http://medkg.local/azithromycin,http://www.wikidata.org/entity/Q165399,1.0
http://medkg.local/beta_blockers,http://www.wikidata.org/entity/Q816759,0.8
http://medkg.local/bevacizumab,http://www.wikidata.org/entity/Q413299,1.0
http://medkg.local/carbidopa,http://www.wikidata.org/entity/Q414225,0.6
http://medkg.local/ciprofloxacin,http://www.wikidata.org/entity/Q256602,1.0
http://medkg.local/corticosteroids,http://www.wikidata.org/entity/Q100156194,0.6
http://medkg.local/dexamethasone,http://www.wikidata.org/entity/Q422252,1.0
http://medkg.local/diuretic,http://www.wikidata.org/entity/Q200656,1.0
http://medkg.local/diuretics,http://www.wikidata.org/entity/Q200656,0.8
http://medkg.local/donepezil,http://www.wikidata.org/entity/Q415081,1.0
http://medkg.local/doxycycline,http://www.wikidata.org/entity/Q422442,1.0
http://medkg.local/escitalopram,http://www.wikidata.org/entity/Q423757,1.0
http://medkg.local/etanercept,http://www.wikidata.org/entity/Q415343,1.0
http://medkg.local/fluoxetine,http://www.wikidata.org/entity/Q422244,1.0
http://medkg.local/furosemide,http://www.wikidata.org/entity/Q388801,1.0
http://medkg.local/haloperidol,http://www.wikidata.org/entity/Q251347,1.0
http://medkg.local/heparin,http://www.wikidata.org/entity/Q190016,1.0
http://medkg.local/hydrocortisone,http://www.wikidata.org/entity/Q190875,0.6
http://medkg.local/hydroxychloroquine,http://www.wikidata.org/entity/Q421094,1.0
http://medkg.local/ibuprofen,http://www.wikidata.org/entity/Q186969,1.0
http://medkg.local/infliximab,http://www.wikidata.org/entity/Q415264,1.0
http://medkg.local/levodopa,http://www.wikidata.org/entity/Q300989,1.0
http://medkg.local/memantine,http://www.wikidata.org/entity/Q412189,1.0
http://medkg.local/metformin,http://www.wikidata.org/entity/Q19484,1.0
http://medkg.local/methotrexate,http://www.wikidata.org/entity/Q422232,1.0
http://medkg.local/metronidazole,http://www.wikidata.org/entity/Q169569,1.0
http://medkg.local/montelukast,http://www.wikidata.org/entity/Q417767,1.0
http://medkg.local/naproxen,http://www.wikidata.org/entity/Q1215575,1.0
http://medkg.local/olanzapine,http://www.wikidata.org/entity/Q201872,1.0
http://medkg.local/omeprazole,http://www.wikidata.org/entity/Q422210,1.0
http://medkg.local/opioid,http://www.wikidata.org/entity/Q427523,1.0
http://medkg.local/opioids,http://www.wikidata.org/entity/Q427523,0.8
http://medkg.local/paracetamol,http://www.wikidata.org/entity/Q57055,1.0
http://medkg.local/paroxetine,http://www.wikidata.org/entity/Q408471,1.0
http://medkg.local/penicillin,http://www.wikidata.org/entity/Q12190,1.0
http://medkg.local/prednisone,http://www.wikidata.org/entity/Q424972,1.0
http://medkg.local/propranolol,http://www.wikidata.org/entity/Q423364,1.0
http://medkg.local/risperidone,http://www.wikidata.org/entity/Q412443,1.0
http://medkg.local/salbutamol,http://www.wikidata.org/entity/Q410358,0.6
http://medkg.local/sertraline,http://www.wikidata.org/entity/Q407617,1.0
http://medkg.local/sitagliptin,http://www.wikidata.org/entity/Q419832,1.0
http://medkg.local/spironolactone,http://www.wikidata.org/entity/Q422188,1.0
http://medkg.local/statin,http://www.wikidata.org/entity/Q954845,1.0
http://medkg.local/statins,http://www.wikidata.org/entity/Q954845,0.8
http://medkg.local/tiotropium,http://www.wikidata.org/entity/Q424316,1.0
http://medkg.local/trastuzumab,http://www.wikidata.org/entity/Q412616,1.0
http://medkg.local/venlafaxine,http://www.wikidata.org/entity/Q898407,1.0
http://medkg.local/verapamil,http://www.wikidata.org/entity/Q410291,1.0
http://medkg.local/warfarin,http://www.wikidata.org/entity/Q113368879,0.6
http://medkg.local/insulin,http://www.wikidata.org/entity/Q50265665,1.0
http://medkg.local/abdominal_pain,http://www.wikidata.org/entity/Q183425,1.0
http://medkg.local/anorexia,http://www.wikidata.org/entity/Q131749,0.6
http://medkg.local/anxiety,http://www.wikidata.org/entity/Q154430,1.0
http://medkg.local/bloating,http://www.wikidata.org/entity/Q4927059,1.0
http://medkg.local/blurred_vision,http://www.wikidata.org/entity/Q4930803,1.0
http://medkg.local/bradycardia,http://www.wikidata.org/entity/Q217111,1.0
http://medkg.local/chest_pain,http://www.wikidata.org/entity/Q693058,1.0
http://medkg.local/chest_tightness,http://www.wikidata.org/entity/Q21109840,1.0
http://medkg.local/chills,http://www.wikidata.org/entity/Q2260058,1.0
http://medkg.local/cognitive_decline,http://www.wikidata.org/entity/Q63338096,0.6
http://medkg.local/confusion,http://www.wikidata.org/entity/Q111529541,1.0
http://medkg.local/constipation,http://www.wikidata.org/entity/Q178436,1.0
http://medkg.local/convulsion,http://www.wikidata.org/entity/Q6279182,0.6
http://medkg.local/cough,http://www.wikidata.org/entity/Q35805,1.0
http://medkg.local/cyanosis,http://www.wikidata.org/entity/Q192120,1.0
http://medkg.local/diarrhea,http://www.wikidata.org/entity/Q40878,1.0
http://medkg.local/dizziness,http://www.wikidata.org/entity/Q10916362,1.0
http://medkg.local/dyspnea,http://www.wikidata.org/entity/Q188008,1.0
http://medkg.local/dysuria,http://www.wikidata.org/entity/Q1269399,1.0
http://medkg.local/edema,http://www.wikidata.org/entity/Q37573809,1.0
http://medkg.local/fatigue,http://www.wikidata.org/entity/Q9690,1.0
http://medkg.local/fever,http://www.wikidata.org/entity/Q64355201,1.0
http://medkg.local/headache,http://www.wikidata.org/entity/Q86,1.0
http://medkg.local/hemoptysis,http://www.wikidata.org/entity/Q647099,1.0
http://medkg.local/high_blood_pressure,http://www.wikidata.org/entity/Q41861,0.6
http://medkg.local/hives,http://www.wikidata.org/entity/Q187440,0.6
http://medkg.local/hypertension,http://www.wikidata.org/entity/Q41861,0.6
http://medkg.local/inflammation,http://www.wikidata.org/entity/Q101991,1.0
http://medkg.local/insomnia,http://www.wikidata.org/entity/Q1869874,1.0
http://medkg.local/irritability,http://www.wikidata.org/entity/Q29299,1.0
http://medkg.local/itching,http://www.wikidata.org/entity/Q199602,0.8
http://medkg.local/jaundice,http://www.wikidata.org/entity/Q133244,1.0
http://medkg.local/loss_of_appetite,http://www.wikidata.org/entity/Q254327,0.6
http://medkg.local/memory_loss,http://www.wikidata.org/entity/Q989365,1.0
http://medkg.local/mood_swings,http://www.wikidata.org/entity/Q138189690,1.0
http://medkg.local/muscle_weakness,http://www.wikidata.org/entity/Q270421,1.0
http://medkg.local/nausea,http://www.wikidata.org/entity/Q186889,1.0
http://medkg.local/night_sweats,http://www.wikidata.org/entity/Q474718,1.0
http://medkg.local/numbness,http://www.wikidata.org/entity/Q1641556,0.6
http://medkg.local/palpitations,http://www.wikidata.org/entity/Q1123260,0.8
http://medkg.local/paresthesia,http://www.wikidata.org/entity/Q769220,1.0
http://medkg.local/polydipsia,http://www.wikidata.org/entity/Q635195,1.0
http://medkg.local/polyphagia,http://www.wikidata.org/entity/Q653267,1.0
http://medkg.local/polyuria,http://www.wikidata.org/entity/Q1124286,1.0
http://medkg.local/rash,http://www.wikidata.org/entity/Q16875296,1.0
http://medkg.local/rigidity,http://www.wikidata.org/entity/Q569057,0.8
http://medkg.local/seizure,http://www.wikidata.org/entity/Q6279182,1.0
http://medkg.local/shortness_of_breath,http://www.wikidata.org/entity/Q188008,0.6
http://medkg.local/sleep_disturbance,http://www.wikidata.org/entity/Q102187069,1.0
http://medkg.local/swelling,http://www.wikidata.org/entity/Q152234,0.6
http://medkg.local/tachycardia,http://www.wikidata.org/entity/Q209583,1.0
http://medkg.local/tingling,http://www.wikidata.org/entity/Q37531349,1.0
http://medkg.local/tremor,http://www.wikidata.org/entity/Q7944,0.6
http://medkg.local/vertigo,http://www.wikidata.org/entity/Q2531983,1.0
http://medkg.local/vision_loss,http://www.wikidata.org/entity/Q507787,1.0
http://medkg.local/vomiting,http://www.wikidata.org/entity/Q127076,1.0
http://medkg.local/weight_gain,http://www.wikidata.org/entity/Q3403879,1.0
http://medkg.local/weight_loss,http://www.wikidata.org/entity/Q718113,1.0
http://medkg.local/adhd,http://www.wikidata.org/entity/Q181923,0.6
